MR,ML,SU,Microphone,Eye,ECG,PressureSensor
0.060487,-0.016969,0.031892,-0.00042522,0.0026094,0.2341,
0.65835,-0.1846,0.34712,-0.00043261,0.0025676,0.23408,
3.2155,-0.90096,1.6954,-0.00043011,0.0025097,0.2341,
9.2097,-2.5777,4.8561,-0.00041878,0.0025014,0.23411,
16.877,-4.7153,8.8994,-0.00043559,0.0025399,0.23409,
20.053,-5.585,10.578,-0.00042987,0.002579,0.23408,
14.632,-4.0466,7.7277,-0.00041831,0.0025864,0.23409,
5.5815,-1.5119,2.9698,-0.00044525,0.0025852,0.2341,
1.4819,-0.38809,0.81882,-0.00042427,0.0025944,0.2341,
2.5988,-0.72609,1.4013,-0.0004257,0.0026076,0.2341,
1.9858,-0.55911,1.0527,-0.00044656,0.0026034,0.23407,
-2.3739,0.66517,-1.2726,-0.00043714,0.0025966,0.23409,
-5.5139,1.53,-2.9378,-0.00042939,0.0026034,0.23413,
-5.2922,1.4394,-2.8161,-0.00043654,0.0026022,0.23412,
-5.295,1.4262,-2.8136,-0.00042641,0.0025744,0.23409,
-7.404,2.0258,-3.9273,-0.00042248,0.002538,0.23406,
-9.0686,2.5049,-4.8044,-0.00043344,0.0025091,0.23405,
-8.8323,2.4489,-4.6717,-0.00041759,0.0025089,0.23404,
-8.5803,2.405,-4.5245,-0.0004288,0.0025178,0.23405,
-9.4566,2.7008,-4.9672,-0.00043726,0.0025222,0.23405,
-10.111,2.9284,-5.2904,-0.00042963,0.0025258,0.23404,
-9.7078,2.8253,-5.0597,-0.00042164,0.0025327,0.23403,
-9.2559,2.6875,-4.8113,-0.00042641,0.0025202,0.23397,
-9.396,2.7267,-4.8828,-0.00041807,0.0025153,0.23393,
-9.4054,2.7449,-4.8965,-0.00042939,0.002526,0.23395,
-8.8288,2.5939,-4.6175,-0.00042844,0.0025103,0.23394,
-8.2162,2.4148,-4.3331,-0.00042522,0.0025057,0.2339,
-7.9212,2.3077,-4.2216,-0.00041163,0.0025104,0.2339,
-7.5523,2.1624,-4.0704,-0.00041258,0.0024945,0.23394,
-6.8615,1.9076,-3.7379,-0.00041854,0.002474,0.23402,
-6.1532,1.6341,-3.3679,-0.0004065,0.0024757,0.23405,
-5.6296,1.4099,-3.0661,-0.00041902,0.0024999,0.23396,
-5.0825,1.1898,-2.7472,-0.00041008,0.0024959,0.23391,
-4.3716,0.95149,-2.3567,-0.00040901,0.0025023,0.23393,
-3.6557,0.75152,-1.9742,-0.00041735,0.002544,0.23389,
-3.0449,0.61363,-1.6559,-0.00039923,0.0025867,0.23387,
-2.4304,0.47847,-1.3585,-0.00040364,0.0026146,0.23388,
-1.739,0.29509,-1.0357,-0.00041103,0.0026087,0.23389,
-1.0582,0.085403,-0.68805,-0.00039709,0.0025753,0.23391,
-0.44948,-0.10005,-0.32052,-0.00039256,0.0025393,0.23395,
0.14573,-0.23938,0.064568,-0.00039661,0.002519,0.23395,
0.76804,-0.34224,0.44137,-0.00038624,0.0025204,0.2339,
1.3691,-0.43168,0.78195,-0.00039065,0.0025272,0.23388,
1.9118,-0.53266,1.0883,-0.00039005,0.0025254,0.23391,
2.4255,-0.65667,1.3719,-0.00038838,0.0025187,0.23395,
2.9363,-0.79089,1.6298,-0.00038326,0.0025074,0.23395,
3.4252,-0.91306,1.8672,-0.00038028,0.0024918,0.23389,
3.8727,-1.0161,2.1095,-0.00039721,0.0024592,0.23386,
4.2862,-1.1094,2.3646,-0.0003897,0.0024419,0.23384,
4.6706,-1.1996,2.6007,-0.00038028,0.0024372,0.23386,
5.0159,-1.2825,2.7845,-0.00037873,0.0024544,0.23391,
5.3227,-1.3563,2.9181,-0.0003624,0.0024588,0.23393,
5.6058,-1.4308,3.0221,-0.00036275,0.0024571,0.23388,
5.8685,-1.5115,3.1076,-0.00037479,0.0024712,0.2338,
6.0976,-1.5852,3.1816,-0.00035965,0.0024725,0.23378,
6.288,-1.6354,3.2612,-0.00034857,0.0024517,0.2338,
6.4508,-1.6668,3.3608,-0.00035787,0.0024291,0.23377,
6.5939,-1.6982,3.4766,-0.00035548,0.002401,0.23373,
6.7115,-1.7334,3.5943,-0.0003444,0.0023528,0.23371,
6.798,-1.7552,3.7007,-0.0003432,0.0023084,0.23371,
6.8567,-1.7533,3.7771,-0.00034475,0.002274,0.23372,
6.8891,-1.7403,3.8025,-0.00033689,0.0022501,0.23372,
6.8876,-1.7342,3.7777,-0.00034285,0.0022662,0.23374,
6.8472,-1.7406,3.7295,-0.00031853,0.002301,0.23373,
6.7762,-1.7566,3.6716,-0.00032747,0.0022963,0.23371,
6.6872,-1.7779,3.5831,-0.00032306,0.002304,0.23368,
6.5827,-1.7935,3.4467,-0.00031161,0.0023209,0.23366,
6.457,-1.7871,3.2906,-0.00032735,0.0023288,0.23364,
6.3086,-1.7562,3.165,-0.0003022,0.0023369,0.23365,
6.1429,-1.7184,3.0851,-0.00030172,0.0023496,0.23365,
5.9649,-1.6918,3.0221,-0.00031602,0.0023632,0.23365,
5.7734,-1.6748,2.9459,-0.00030184,0.0023592,0.23366,
5.5656,-1.6511,2.8551,-0.00029635,0.0023619,0.23368,
5.3425,-1.6085,2.7612,-0.00030649,0.0023757,0.23368,
5.1085,-1.5484,2.6616,-0.00030231,0.0023917,0.23368,
4.8661,-1.4798,2.5398,-0.000301,0.0023983,0.23371,
4.6136,-1.408,2.3868,-0.00028801,0.0024117,0.23372,
4.3481,-1.3299,2.2149,-0.0002861,0.0024149,0.2337,
4.0703,-1.2393,2.0489,-0.00028872,0.0024345,0.23372,
3.783,-1.1343,1.9046,-0.00028515,0.0024562,0.23373,
3.4863,-1.0213,1.7772,-0.00026429,0.002458,0.23374,
3.1767,-0.90979,1.6497,-0.00026453,0.0024365,0.23376,
2.8553,-0.80574,1.5128,-0.00027859,0.0024258,0.2338,
2.5325,-0.70896,1.3697,-0.00027609,0.0024087,0.23383,
2.2174,-0.61769,1.2213,-0.00026059,0.0023843,0.23385,
1.906,-0.53097,1.0571,-0.00025952,0.0023513,0.23387,
1.5875,-0.446,0.86996,-0.00026846,0.0023155,0.23388,
1.262,-0.35827,0.67342,-0.00026155,0.0023012,0.23386,
0.9396,-0.26672,0.4901,-0.00026393,0.0022933,0.23384,
0.6238,-0.17395,0.32516,-0.00027287,0.0022835,0.23384,
0.30968,-0.080493,0.16469,-0.00024629,0.0022794,0.23387,
-0.0031907,0.015115,-0.0011609,-0.00023353,0.0022931,0.23391,
-0.30966,0.10979,-0.16768,-0.00026691,0.0022932,0.23394,
-0.60968,0.19646,-0.32781,-0.00025475,0.0022842,0.23397,
-0.90724,0.27359,-0.48226,-0.00024164,0.0022788,0.23399,
-1.2011,0.3488,-0.63615,-0.00024676,0.0022935,0.23398,
-1.487,0.42972,-0.79412,-0.00023949,0.0022963,0.23395,
-1.7646,0.5139,-0.95801,-0.00023937,0.0022804,0.23394,
-2.0333,0.59194,-1.1223,-0.00022781,0.0022736,0.23399,
